1
																							
236.5	243	227	229	231	204	237	227	244	265	239	241	215	243	278	267	259	266	247	245	247	239	36	238
243	183	188	290	195	193	225	223	257	252	206	223	239	242	229	249	224	233	233	125	190	137	-36	238
144	196	83	203	249	243	226	247	240	211	230	200	271	225	248	249.5	242	237	147	224	235	181	32	238
232	258	211	200	252	230	178	232	216	278	198	208	246	79	232	239	227	247	224	230	230	243	47	240
170	229	242	157	258	191	177	37	269	186	178	263	246	250	272	209	284	236	221	197	262	134	36	259
204	210	105	227	119.5	106	181	222	220	196	197	342	253	225	229	224	199	56	181	165	204	151	37	241
212	265	220	237	148	239	186	263	93	169	217	260	242	239	211	191	256	227	31	215	243	179	38	237
249	262	243	231	215	217	268	226	203	198	205	247.5	182	225	87	241	229	215	180	229	225	146	36	238
225	222	235	261	177	220	179	248	208	216	94	231	224	262	160	196	283	105	193	214	266	228	40	251
227	209	217	220	173	210	209	267	175	148	152	255	243	231	175	208	236	186	151	203	222	289	47	234
244	254	233	253	201	250	182	212	247	129	209	250	217	242	230	206	234	106	190	204	215	251	31	240
255	257	242	216	228	211	188	178	140	159	123	246	160	251	232	205	232	164	155	218	172	145	32	234
232	134	178	203	221	227	194	147.5	70	112	144	234	-68	239	92	184	97	113	72	29	117	120	20	236
240	237	162	180	184	211	160	198	123	194	130	230	231	162	208	126	236	201	176	166	158	182	36	238
121	212	211	236	229	238	232	202	190	204	136	263	185	244	162	239	223	166	248	278	212	239	36	238
238	248	251	253	229	272	234	61	136	304	137	247	256	250	212	248	174	243	271	231	196	209	36	254.5
